census_tract,census_county,hvi
6037209520,Los Angeles County,72.31
6037209810,Los Angeles County,70.65
6037209820,Los Angeles County,64.34
6037210010,Los Angeles County,75.78
6037211000,Los Angeles County,28.52
6037211120,Los Angeles County,46.30
6037211121,Los Angeles County,42.60
6037211122,Los Angeles County,59.30
6037211201,Los Angeles County,62.32
6037211202,Los Angeles County,63.00
6037211310,Los Angeles County,62.07
6037211320,Los Angeles County,64.53
6037211410,Los Angeles County,56.63
6037211420,Los Angeles County,49.61
6037211500,Los Angeles County,40.82
6037211701,Los Angeles County,36.44
6037211703,Los Angeles County,51.01
6037211704,Los Angeles County,48.94
6037211802,Los Angeles County,50.05
6037211803,Los Angeles County,51.56
6037211804,Los Angeles County,50.38
6037211910,Los Angeles County,57.30
6037211921,Los Angeles County,56.19
6037211922,Los Angeles County,55.44
6037212101,Los Angeles County,51.29
6037212102,Los Angeles County,57.03
6037212202,Los Angeles County,60.02
6037212203,Los Angeles County,79.68
6037212204,Los Angeles County,69.66
6037212303,Los Angeles County,72.93
6037212304,Los Angeles County,66.03
6037212305,Los Angeles County,67.38
6037212306,Los Angeles County,59.38
6037212410,Los Angeles County,59.34
6037212420,Los Angeles County,60.76
6037212501,Los Angeles County,46.97
6037212502,Los Angeles County,51.09
6037212610,Los Angeles County,53.11
6037212620,Los Angeles County,56.13
6037212701,Los Angeles County,45.43
6037212702,Los Angeles County,33.70
6037212800,Los Angeles County,50.32
6037212900,Los Angeles County,63.22
6037213100,Los Angeles County,51.36
6037213201,Los Angeles County,64.75
6037213202,Los Angeles County,66.55
6037213310,Los Angeles County,67.69
6037213320,Los Angeles County,65.59
6037213401,Los Angeles County,67.12
6037213402,Los Angeles County,62.06
6037214000,Los Angeles County,30.44
6037214100,Los Angeles County,30.71
6037214400,Los Angeles County,35.29
6037214501,Los Angeles County,33.97
6037214502,Los Angeles County,33.54
6037214503,Los Angeles County,32.30
6037214600,Los Angeles County,33.30
6037214700,Los Angeles County,30.88
6037214800,Los Angeles County,36.56
6037214901,Los Angeles County,34.32
6037214902,Los Angeles County,38.21
6037215101,Los Angeles County,38.27
6037215102,Los Angeles County,38.19
6037216100,Los Angeles County,30.22
6037216200,Los Angeles County,38.79
6037216300,Los Angeles County,31.57
6037216401,Los Angeles County,42.82
6037216402,Los Angeles County,36.61
6037216700,Los Angeles County,36.46
6037216800,Los Angeles County,30.99
6037216900,Los Angeles County,41.53
6037217001,Los Angeles County,37.75
6037217002,Los Angeles County,36.87
6037217100,Los Angeles County,44.18
6037217200,Los Angeles County,45.97
6037218110,Los Angeles County,50.42
6037218120,Los Angeles County,62.53
6037218210,Los Angeles County,60.23
6037218220,Los Angeles County,53.52
6037218300,Los Angeles County,46.48
6037218400,Los Angeles County,52.34
6037218500,Los Angeles County,57.52
6037218600,Los Angeles County,50.48
6037218701,Los Angeles County,44.74
